Name,Company,Built,Capacity,Crew,EnrouteDuration,OriginPort,OriginCountry,DestinationPort,DestinationCountry
Qui Aliquam,COSCO Shipping,1971,11500,Bahrain,41,Hamburg,Germany,Hong Kong,China
Omnis Explicabo,Korea Marine Transport Company [de],1984,13700,Denmark,109,Qingdao,China,Los Angeles,U.S.A.
Dolor Eos,Evergreen Marine,1955,10500,Iceland,118,Ningbo-Zhoushan,China,Singapore,Singapore
Omnis Vel,Pacific International Lines,2011,17500,Israel,54,Busan,South Korea,Singapore,Singapore
Quis Distinctio,Zim Integrated Shipping Services,2006,10300,Faroe Islands,116,Ningbo-Zhoushan,China,Ho Chi Minh City,Vietnam
Delectus Itaque,Antong Holdings (QASC),2011,15100,Niue,101,Algeciras,Spain,Busan,South Korea
Consequatur Delectus,Swire,2015,14300,Burundi,63,Shenzhen,China,Tanger Med,Morocco
Magnam Sit,Global Feeder Shipping,1966,16200,United Arab Emirates,36,Rotterdam,The Netherlands,Laem Chabang,Thailand
Quia Et,CMA CGM,1994,11000,Tuvalu,86,Qingdao,China,Busan,South Korea
Dolorum Autem,COSCO Shipping,1979,6400,Cuba,109,Rizhao,China,Laem Chabang,Thailand
Animi Tempora,Evergreen Marine,2011,15800,Iraq,52,Hamburg,Germany,Hong Kong,China
Est Et,COSCO Shipping,1955,9600,Israel,30,Shanghai,China,Jebel Ali,United Arab Emirates
Ullam Sunt,Hyundai Merchant Marine,2004,13400,Puerto Rico,98,Dalian,China,Port Klang,Malaysia
Cumque Voluptatum,Mediterranean Shipping Company,1954,16300,Isle of Man,111,Tanger Med,Morocco,Tanjung Priok,Indonesia
Odio Maiores,Zim Integrated Shipping Services,1979,12700,Guyana,28,Shenzhen,China,Keihin Ports,Japan
Possimus A,Maersk,1998,8600,Switzerland,36,Lianyunguang,China,Colombo,Sri Lanka
Vero Similique,Pacific International Lines,2017,7200,Uruguay,102,Port Klang,Malaysia,Xiamen,China
Quaerat Ipsa,CMA CGM,2001,14700,Aruba,108,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Manila,Philippines
Ut Dolorem,Mediterranean Shipping Company,1953,8700,Guam,86,Guangzhou Harbor,China,Keihin Ports,Japan
Qui Porro,Mediterranean Shipping Company,1950,15300,Ukraine,79,Salalah,Oman,Fuzhou,China
Sed Sint,CMA CGM,2011,9900,Namibia,89,Hamburg,Germany,Ningbo-Zhoushan,China
Non Pariatur,Ocean Network Express,1972,11400,Dominican Republic,40,Nanjing,China,Bremen/Bremerhaven,Germany
Quasi Beatae,COSCO Shipping,1966,11300,Guyana,58,Port Klang,Malaysia,Shanghai,China
Libero Maiores,Regional Container Lines,1951,7000,Uruguay,37,Singapore,Singapore,Qingdao,China
Velit Architecto,Mediterranean Shipping Company,2009,16600,Kenya,38,Shanghai,China,Jebel Ali,United Arab Emirates
Id Porro,Arkas Container Transport,2016,8900,Malta,85,Jebel Ali,United Arab Emirates,Busan,South Korea
Beatae Mollitia,Mediterranean Shipping Company,2019,14000,Marshall Islands,73,Kaohsiung,Taiwan,Piraeus,Greece
Fugit Debitis,Mediterranean Shipping Company,2003,11300,Brazil,100,Nanjing,China,Kaohsiung,Taiwan
Voluptas Quas,Ocean Network Express,1981,15600,Cyprus,73,Guangzhou Harbor,China,Jawarharlal Nehru Port (Nhava Sheva),India
Doloribus Ut,Maersk,1964,10800,Lao People's Democratic Republic,25,Lianyunguang,China,Antwerp,Belgium
Totam Molestiae,X-Press Feeders,1984,15800,Holy See (Vatican City State),85,Colombo,Sri Lanka,Yingkou,China
Consequuntur Rem,Korea Marine Transport Company [de],1951,10900,Sao Tome and Principe,51,Shenzhen,China,Tanjung Pelepas,Malaysia
Tempore Facere,CMA CGM,2019,15900,Zambia,72,Shanghai,China,Singapore,Singapore
Odio Laborum,Wan Hai Lines,2010,10100,China,39,Tokyo,Japan,Qingdao,China
Asperiores Aut,Yang Ming Marine Transport Corporation,2014,12100,Canada,53,Bremen/Bremerhaven,Germany,Cai Mep,Vietnam
Veritatis Autem,Sinokor Merchant Marine,2016,14400,Afghanistan,21,Shanghai,China,Jawarharlal Nehru Port (Nhava Sheva),India
Sed Porro,Evergreen Marine,1961,8500,Monaco,29,Shanghai,China,Jebel Ali,United Arab Emirates
Nihil Consequatur,CMA CGM,2018,10000,United Kingdom,68,Ho Chi Minh City,Vietnam,Shanghai,China
Voluptatem Optio,Hyundai Merchant Marine,1985,4300,Saint Lucia,74,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Tanjung Pelepas,Malaysia
Autem Blanditiis,Shandong International Transportation Corporation,1973,15200,Hong Kong,95,Vancouver,Canada,Piraeus,Greece
Doloremque Dolorem,Global Feeder Shipping,1968,16000,Democratic People's Republic of Korea,77,Fuzhou,China,Tanjung Priok,Indonesia
Debitis Sequi,Mediterranean Shipping Company,1983,11200,French Southern Territories,75,Xiamen,China,Bremen/Bremerhaven,Germany
Aut Molestiae,Maersk,1973,17600,Gambia,78,Shenzhen,China,Singapore,Singapore
Ea Asperiores,CMA CGM,2013,6000,Faroe Islands,68,Ningbo-Zhoushan,China,Keihin Ports,Japan
Ut Fugit,Regional Container Lines,1982,7400,Bouvet Island (Bouvetoya),82,Dalian,China,Singapore,Singapore
Mollitia Incidunt,Zim Integrated Shipping Services,2008,16900,Italy,25,Shanghai,China,Los Angeles,U.S.A.
Accusantium Dignissimos,Ocean Network Express,1984,6300,French Guiana,40,Qingdao,China,Jebel Ali,United Arab Emirates
Deleniti Quibusdam,Hapag-Lloyd,2011,13900,Djibouti,100,Port Klang,Malaysia,Xiamen,China
Culpa Et,CMA CGM,2020,13900,Tunisia,111,Tanger Med,Morocco,Hanshin Port,Japan
Delectus Dolorum,Maersk,1976,5700,Nauru,95,Jawarharlal Nehru Port (Nhava Sheva),India,Port Klang,Malaysia
Voluptatum Vero,Mediterranean Shipping Company,1974,11600,Eritrea,90,Busan,South Korea,Shenzhen,China
Deserunt Voluptas,Maersk,1968,4800,United Arab Emirates,90,Shanghai,China,Singapore,Singapore
Ea Minima,CMA CGM,2007,11400,Guyana,42,Ningbo-Zhoushan,China,Antwerp,Belgium
Numquam Voluptatem,COSCO Shipping,2009,7500,Republic of Korea,100,Jebel Ali,United Arab Emirates,Marsaxlokk,Malta
Omnis Omnis,Hyundai Merchant Marine,1970,4200,Iceland,52,Antwerp,Belgium,Dalian,China
Id Quidem,Maersk,1994,17100,Turkmenistan,85,Barcelona,Spain,Port Klang,Malaysia
Aut In,Hapag-Lloyd,1977,2300,Lebanon,75,Vancouver,Canada,Tianjin,China
Earum Sit,Sinokor Merchant Marine,1985,3700,Maldives,112,Ho Chi Minh City,Vietnam,Laem Chabang,Thailand
Aliquam Quidem,CMA CGM,1976,11900,Saint Pierre and Miquelon,75,Shanghai,China,Kaohsiung,Taiwan
Voluptatem Quibusdam,Unifeeder,2004,17300,Mongolia,72,Singapore,Singapore,Savannah,U.S.A.
Voluptatum Possimus,Ocean Network Express,1991,6100,Philippines,31,Singapore,Singapore,Manila,Philippines
Debitis Nesciunt,CMA CGM,1998,10800,Cambodia,70,Hong Kong,China,Jebel Ali,United Arab Emirates
Quia Enim,Maersk,2005,13800,Bosnia and Herzegovina,32,Lianyunguang,China,Singapore,Singapore
Voluptatem Nemo,Matson,1969,13100,Ethiopia,61,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Rizhao,China
Facilis Et,Grimaldi Group,1950,14700,Uzbekistan,83,Jebel Ali,United Arab Emirates,Ningbo-Zhoushan,China
Iure In,CMA CGM,2015,15800,Saint Martin,93,Antwerp,Belgium,Nanjing,China
Porro Dolores,Maersk,1961,15800,Angola,46,Port Klang,Malaysia,Jebel Ali,United Arab Emirates
Voluptatibus Sit,Mediterranean Shipping Company,1982,7300,Panama,43,Marsaxlokk,Malta,Shanghai,China
Est Fugit,Mediterranean Shipping Company,1964,2000,United Arab Emirates,75,Qingdao,China,Hanshin Port,Japan
Reprehenderit Odit,Antong Holdings (QASC),1967,16900,Guam,99,Jebel Ali,United Arab Emirates,Long Beach,U.S.A.
Est At,Korea Marine Transport Company [de],2014,15700,Hong Kong,84,Busan,South Korea,Tianjin,China
Reiciendis Ex,Maersk,1984,15600,Kuwait,67,Colombo,Sri Lanka,Dalian,China
Enim Molestiae,Zhonggu Logistics,2007,14800,Heard Island and McDonald Islands,99,Jebel Ali,United Arab Emirates,Tanjung Pelepas,Malaysia
Corrupti Molestiae,Evergreen Marine,2011,16700,Malta,31,Rizhao,China,Port Klang,Malaysia
Amet Culpa,COSCO Shipping,1979,15200,Vietnam,105,Ningbo-Zhoushan,China,Port Klang,Malaysia
Dolorem Pariatur,Mediterranean Shipping Company,1963,13800,Bahrain,104,Shanghai,China,Hamburg,Germany
Mollitia Rerum,CMA CGM,1968,17700,Palau,88,Shanghai,China,Kaohsiung,Taiwan
Illum Vel,Mediterranean Shipping Company,1987,17800,United Kingdom,68,Long Beach,U.S.A.,Singapore,Singapore
Reiciendis Fugiat,Antong Holdings (QASC),2010,15300,Guatemala,39,Jebel Ali,United Arab Emirates,Qingdao,China
Quia Dignissimos,Maersk,2020,17500,Saint Lucia,77,Qingdao,China,Hanshin Port,Japan
Nam Molestiae,Regional Container Lines,2003,13600,Svalbard & Jan Mayen Islands,59,Ningbo-Zhoushan,China,Tokyo,Japan
Deleniti Repellendus,CMA CGM,2016,9500,Nicaragua,53,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Colombo,Sri Lanka
Autem Aut,Hyundai Merchant Marine,1976,17600,Greece,116,Keihin Ports,Japan,Antwerp,Belgium
Molestiae Neque,COSCO Shipping,2002,14600,Guadeloupe,32,Hong Kong,China,Hamburg,Germany
In Sequi,COSCO Shipping,2013,18000,French Polynesia,112,Dalian,China,Laem Chabang,Thailand
Maiores Ad,Maersk,1982,10100,Western Sahara,103,Hanshin Port,Japan,Long Beach,U.S.A.
Rerum Expedita,Maersk,1970,16200,Dominica,47,Busan,South Korea,Xiamen,China
In Molestiae,Zhonggu Logistics,2015,16600,Panama,110,Savannah,U.S.A.,Rotterdam,The Netherlands
Quia Quae,Ocean Network Express,2007,14100,Vanuatu,28,Hamburg,Germany,Laem Chabang,Thailand
Provident Qui,Mediterranean Shipping Company,1989,8100,Grenada,108,Singapore,Singapore,Busan,South Korea
Reiciendis Laudantium,Hapag-Lloyd,1970,16800,Guadeloupe,112,Busan,South Korea,Xiamen,China
Sit Tempora,Unifeeder,1996,12100,Azerbaijan,51,Dalian,China,Kaohsiung,Taiwan
Qui Officia,Shandong International Transportation Corporation,1985,14000,Turks and Caicos Islands,33,Guangzhou Harbor,China,Kaohsiung,Taiwan
Ut Aliquam,Maersk,1984,3700,Singapore,90,Shanghai,China,Tokyo,Japan
Quidem Atque,Hapag-Lloyd,1980,16600,Djibouti,57,Los Angeles,U.S.A.,Antwerp,Belgium
Perspiciatis Consequatur,CMA CGM,2007,5800,Christmas Island,78,Guangzhou Harbor,China,Tanjung Pelepas,Malaysia
Eum Necessitatibus,Maersk,1979,13100,Afghanistan,62,Dalian,China,Jebel Ali,United Arab Emirates
Aut Quo,Shandong International Transportation Corporation,1968,13400,South Georgia and the South Sandwich Islands,100,Dalian,China,Port Klang,Malaysia
Fuga In,Antong Holdings (QASC),1988,5400,New Caledonia,95,Rotterdam,The Netherlands,Singapore,Singapore
Eius Ut,Zhonggu Logistics,1963,3100,Serbia,40,Antwerp,Belgium,Tianjin,China
Repudiandae Dicta,Ocean Network Express,1990,17600,South Africa,91,Ningbo-Zhoushan,China,Manila,Philippines
Rerum Autem,CMA CGM,1966,16200,Macedonia,100,Dalian,China,Rotterdam,The Netherlands
Inventore Quia,Unifeeder,1966,15000,Sweden,51,Mundra,India,Nanjing,China
Ipsa Ut,Salam Pacific Indonesia Lines,1981,11100,Sweden,120,Santos,Brazil,Qingdao,China
Et Sint,Zhonggu Logistics,1983,17700,Afghanistan,96,Xiamen,China,New York-New Jersey,U.S.A.
Ratione Quisquam,CMA CGM,1983,5900,Niger,104,Ningbo-Zhoushan,China,Laem Chabang,Thailand
Ut Eum,Hapag-Lloyd,2016,6000,Uganda,76,Los Angeles,U.S.A.,Colombo,Sri Lanka
Distinctio Et,Antong Holdings (QASC),1972,14000,Netherlands,98,Hong Kong,China,Keihin Ports,Japan
Enim Quaerat,COSCO Shipping,2008,14700,Angola,99,Tanjung Pelepas,Malaysia,Guangzhou Harbor,China
Et Perspiciatis,COSCO Shipping,2018,13500,Mauritius,36,Busan,South Korea,Yingkou,China
Minima Enim,COSCO Shipping,1982,4100,Uruguay,40,Hong Kong,China,Busan,South Korea
Sequi Tempora,Ocean Network Express,2021,11800,Congo,35,Kaohsiung,Taiwan,Colombo,Sri Lanka
Corrupti Voluptatem,COSCO Shipping,2021,5800,Vanuatu,113,Shenzhen,China,Rotterdam,The Netherlands
Veniam Doloribus,COSCO Shipping,1955,10100,Tonga,41,Guangzhou Harbor,China,Santos,Brazil
Id Voluptatem,Sinokor Merchant Marine,2003,7400,Rwanda,34,Singapore,Singapore,Los Angeles,U.S.A.
Nam Numquam,Antong Holdings (QASC),2002,4800,Svalbard & Jan Mayen Islands,64,Shanghai,China,Kaohsiung,Taiwan
Dolorem Ipsum,Ocean Network Express,1959,14000,Jamaica,72,Shanghai,China,Mundra,India
Et Similique,Salam Pacific Indonesia Lines,1988,12600,Bhutan,100,Tanjung Pelepas,Malaysia,Lianyunguang,China
Incidunt Voluptatem,TS Lines,1986,11300,Hong Kong,98,Tianjin,China,Singapore,Singapore
Ab Et,Evergreen Marine,1964,14300,Gambia,47,Singapore,Singapore,Hong Kong,China
Aspernatur Est,CMA CGM,1951,8700,Liberia,117,Savannah,U.S.A.,Shanghai,China
Ad Dolor,Sinokor Merchant Marine,2008,11000,Anguilla,31,Rotterdam,The Netherlands,Busan,South Korea
Labore Qui,Regional Container Lines,2008,17700,Monaco,62,Guangzhou Harbor,China,Singapore,Singapore
Perferendis Qui,Mediterranean Shipping Company,1970,13500,Saint Lucia,36,Busan,South Korea,Qingdao,China
Assumenda Dolorem,CMA CGM,2019,5900,Switzerland,77,Shenzhen,China,Manila,Philippines
Doloribus At,CMA CGM,1971,13500,Yemen,71,Antwerp,Belgium,Tanjung Pelepas,Malaysia
Reprehenderit Est,Wan Hai Lines,1967,11300,Cook Islands,73,Shanghai,China,Port Klang,Malaysia
Sed Impedit,Wan Hai Lines,1958,11200,United States Minor Outlying Islands,30,Jawarharlal Nehru Port (Nhava Sheva),India,Kaohsiung,Taiwan
Voluptate Est,COSCO Shipping,2009,14800,Lesotho,42,Hong Kong,China,Tanger Med,Morocco
Nisi Rerum,Maersk,2000,16500,Finland,62,Tanjung Priok,Indonesia,Busan,South Korea
Rerum Nesciunt,Mediterranean Shipping Company,2021,9200,Norway,95,Colombo,Sri Lanka,Tanjung Pelepas,Malaysia
Quo Eveniet,Wan Hai Lines,2012,16500,Moldova,70,Antwerp,Belgium,Colombo,Sri Lanka
Ex Aut,Mediterranean Shipping Company,2015,17900,Oman,87,Long Beach,U.S.A.,Tanjung Pelepas,Malaysia
Rem Aut,COSCO Shipping,2006,4100,Marshall Islands,45,Singapore,Singapore,Keihin Ports,Japan
Reiciendis Quo,Evergreen Marine,1992,9800,France,78,Qingdao,China,Jebel Ali,United Arab Emirates
Suscipit Dolorem,Unifeeder,1998,15000,Heard Island and McDonald Islands,42,Ningbo-Zhoushan,China,Busan,South Korea
Est Quas,Maersk,2013,12700,India,80,Singapore,Singapore,Tanjung Pelepas,Malaysia
Aliquid Dolores,Maersk,1958,16600,Turkey,32,Busan,South Korea,Jebel Ali,United Arab Emirates
Nihil Illum,Mediterranean Shipping Company,1956,16700,Uzbekistan,91,Shenzhen,China,Singapore,Singapore
Quisquam Labore,Mediterranean Shipping Company,2002,17300,Japan,45,Busan,South Korea,Hong Kong,China
Qui Iusto,CMA CGM,1982,12600,Grenada,90,Dalian,China,Singapore,Singapore
Voluptatibus Doloremque,CMA CGM,1956,9200,Cocos (Keeling) Islands,75,Guangzhou Harbor,China,Hanshin Port,Japan
Eligendi Non,TS Lines,2003,13300,Panama,98,Keihin Ports,Japan,Busan,South Korea
Nesciunt Sed,Hapag-Lloyd,1987,10500,Djibouti,66,Felixstowe,U.K.,Mundra,India
Ea Earum,Hapag-Lloyd,1965,12300,Ukraine,22,Shanghai,China,Tanjung Priok,Indonesia
Illo Recusandae,Wan Hai Lines,1994,13400,Micronesia,85,Rotterdam,The Netherlands,Shenzhen,China
Qui Voluptas,COSCO Shipping,2011,15800,Macedonia,59,Jebel Ali,United Arab Emirates,Ningbo-Zhoushan,China
Consequatur Dolorum,COSCO Shipping,2008,12800,Andorra,118,Ningbo-Zhoushan,China,Ho Chi Minh City,Vietnam
Vero Voluptatem,Maersk,1958,17300,Israel,21,Jeddah,Saudi Arabia,Vancouver,Canada
Recusandae Et,Antong Holdings (QASC),1985,10700,Tonga,33,Hanshin Port,Japan,Busan,South Korea
Sed Accusantium,Mediterranean Shipping Company,2005,17900,Czech Republic,86,Shanghai,China,Cai Mep,Vietnam
Commodi Animi,Maersk,1961,12800,Gabon,73,Long Beach,U.S.A.,Mundra,India
Sint Neque,Unifeeder,2002,5400,Tokelau,63,Hong Kong,China,New York-New Jersey,U.S.A.
Possimus Sit,IRISL Group,1986,4900,Canada,90,Hong Kong,China,Algeciras,Spain
Amet Et,Maersk,1954,17300,Saint Vincent and the Grenadines,59,Singapore,Singapore,Shanghai,China
Eligendi Velit,Mediterranean Shipping Company,1951,10800,Benin,52,Busan,South Korea,Shanghai,China
Animi Velit,CMA CGM,1968,11400,"Virgin Islands, U.S.",23,Qingdao,China,Bremen/Bremerhaven,Germany
Vel Unde,CMA CGM,1969,17300,Jordan,58,Shenzhen,China,Singapore,Singapore
Sunt Fugiat,Maersk,2007,7900,Guinea-Bissau,22,Busan,South Korea,Laem Chabang,Thailand
Consequatur Enim,Swire,1997,15400,Austria,67,Guangzhou Harbor,China,Jebel Ali,United Arab Emirates
Rerum Similique,COSCO Shipping,1968,17800,Mongolia,29,Shanghai,China,Laem Chabang,Thailand
Tenetur Aliquam,COSCO Shipping,2005,15700,Malta,34,Tianjin,China,Jebel Ali,United Arab Emirates
Rerum Exercitationem,Antong Holdings (QASC),1963,11700,Western Sahara,100,Hong Kong,China,Piraeus,Greece
Commodi Nulla,Korea Marine Transport Company [de],2009,15400,Lithuania,51,Shanghai,China,Tanjung Pelepas,Malaysia
Beatae In,CMA CGM,2002,16700,Tunisia,39,Long Beach,U.S.A.,Ningbo-Zhoushan,China
Nisi Debitis,Maersk,1987,17800,Spain,37,Shenzhen,China,Mundra,India
Et Vel,Ocean Network Express,1985,7900,India,22,Busan,South Korea,Rizhao,China
Est Rerum,COSCO Shipping,1995,16500,Eritrea,81,Santos,Brazil,Bremen/Bremerhaven,Germany
Debitis Esse,Shandong International Transportation Corporation,1972,7000,Cocos (Keeling) Islands,28,Tianjin,China,Kaohsiung,Taiwan
Quidem Earum,CMA CGM,2013,15600,Western Sahara,21,Shanghai,China,Singapore,Singapore
Sunt Expedita,Maersk,1982,14600,Aruba,100,Hamburg,Germany,Savannah,U.S.A.
Dolor Reiciendis,COSCO Shipping,1976,15000,Reunion,100,Singapore,Singapore,Antwerp,Belgium
Accusantium Ut,Antong Holdings (QASC),2018,12000,Somalia,83,Ningbo-Zhoushan,China,Singapore,Singapore
Quos Amet,COSCO Shipping,2016,13600,Cape Verde,44,Hong Kong,China,Jebel Ali,United Arab Emirates
Molestiae Necessitatibus,Sinotrans,1979,7600,Turkmenistan,51,Qingdao,China,Hamburg,Germany
Repellat Laboriosam,Mediterranean Shipping Company,2006,3600,Belarus,89,Hanshin Port,Japan,Shanghai,China
Quod Illum,Salam Pacific Indonesia Lines,2017,13600,Togo,48,Shenzhen,China,Jawarharlal Nehru Port (Nhava Sheva),India
Accusamus Consequuntur,Mediterranean Shipping Company,2002,16900,"Virgin Islands, U.S.",105,Singapore,Singapore,Santos,Brazil
Voluptates Aut,Hapag-Lloyd,2001,5000,Belgium,90,Antwerp,Belgium,Singapore,Singapore
Eos Voluptates,Maersk,1958,16300,Cook Islands,92,Long Beach,U.S.A.,Algeciras,Spain
Alias Totam,Hapag-Lloyd,2015,17000,Palau,89,Busan,South Korea,Kaohsiung,Taiwan
Ad Autem,CMA CGM,1982,17000,Jordan,48,Kaohsiung,Taiwan,Shanghai,China
Incidunt Architecto,Mediterranean Shipping Company,2014,13800,Trinidad and Tobago,50,Singapore,Singapore,Nanjing,China
Aliquam Mollitia,Unifeeder,1963,10100,Central African Republic,64,Laem Chabang,Thailand,Shanghai,China
Iure Maiores,Mediterranean Shipping Company,1961,15300,Albania,50,Shanghai,China,Singapore,Singapore
Et Ut,COSCO Shipping,1956,8200,Botswana,64,Shanghai,China,Port Klang,Malaysia
Rem Occaecati,COSCO Shipping,1958,12000,Latvia,63,Colombo,Sri Lanka,Shanghai,China
Omnis Quo,Maersk,2000,12400,Netherlands,97,Guangzhou Harbor,China,Manila,Philippines
Possimus Qui,CMA CGM,2015,1100,China,36,Lianyunguang,China,Barcelona,Spain
Est Laboriosam,Mediterranean Shipping Company,1955,16500,Congo,26,Guangzhou Harbor,China,Singapore,Singapore
Voluptas Distinctio,CMA CGM,1983,8700,Austria,80,Shenzhen,China,Singapore,Singapore
Molestiae Reiciendis,Regional Container Lines,2006,15500,Italy,91,Rotterdam,The Netherlands,Fuzhou,China
Voluptates Recusandae,Mediterranean Shipping Company,1961,15300,Rwanda,24,Tianjin,China,Tanjung Pelepas,Malaysia
Architecto Et,Shandong International Transportation Corporation,1995,13800,Malawi,80,Tianjin,China,Singapore,Singapore
Sunt Distinctio,Evergreen Marine,2007,15100,Iceland,57,Tianjin,China,Santos,Brazil
Earum Eius,CMA CGM,2020,15300,Anguilla,33,Ningbo-Zhoushan,China,Algeciras,Spain
Soluta Magni,Zim Integrated Shipping Services,1994,7600,Tokelau,45,Port Klang,Malaysia,Guangzhou Harbor,China
Rerum Facilis,Shandong International Transportation Corporation,2008,11800,Peru,96,Lianyunguang,China,Singapore,Singapore
Doloremque Consequatur,Mediterranean Shipping Company,1989,13100,Lesotho,67,Keihin Ports,Japan,Antwerp,Belgium
Recusandae Quia,Ocean Network Express,1996,4500,Bosnia and Herzegovina,109,Singapore,Singapore,Shanghai,China
Porro Voluptatem,Mediterranean Shipping Company,1967,15700,Luxembourg,27,Busan,South Korea,Colombo,Sri Lanka
Quisquam Inventore,CMA CGM,1962,6200,Greenland,41,Ningbo-Zhoushan,China,Savannah,U.S.A.
Cum Consequuntur,CMA CGM,1967,14200,Fiji,65,Hong Kong,China,Keihin Ports,Japan
Commodi Et,Mediterranean Shipping Company,1956,9400,Taiwan,96,Nanjing,China,Tokyo,Japan
Nostrum Sit,Mediterranean Shipping Company,1970,7500,Malawi,56,Qingdao,China,Savannah,U.S.A.
Quod Vel,Maersk,1989,12500,Hong Kong,118,Hanshin Port,Japan,Rotterdam,The Netherlands
Inventore Enim,Mediterranean Shipping Company,2014,15200,Mali,93,Tanjung Priok,Indonesia,Colombo,Sri Lanka
Temporibus Laboriosam,CMA CGM,1986,14300,Sudan,53,Shanghai,China,Hamburg,Germany
Nesciunt Eos,Ocean Network Express,1997,16300,Luxembourg,88,Shanghai,China,Long Beach,U.S.A.
Facere Vero,Wan Hai Lines,1953,9900,Timor-Leste,59,Busan,South Korea,Algeciras,Spain
Et Officiis,Mediterranean Shipping Company,1954,8600,Chad,24,Singapore,Singapore,Rotterdam,The Netherlands
Rerum Velit,COSCO Shipping,1998,14100,Singapore,21,Guangzhou Harbor,China,Cai Mep,Vietnam
Sapiente Quo,Maersk,2006,11800,Uruguay,102,Hong Kong,China,Colon,Panama
Omnis Numquam,COSCO Shipping,1979,17000,Republic of Korea,28,Shanghai,China,Algeciras,Spain
Ratione Veniam,Maersk,1960,15900,Iran,42,Port Klang,Malaysia,Kaohsiung,Taiwan
Asperiores Provident,COSCO Shipping,2008,17800,Holy See (Vatican City State),109,Busan,South Korea,Shanghai,China
Quia Quia,Mediterranean Shipping Company,1979,12700,Yemen,84,Qingdao,China,Jebel Ali,United Arab Emirates
Sed Quia,Zim Integrated Shipping Services,2005,15900,Jersey,25,Port Klang,Malaysia,Antwerp,Belgium
Quia Vitae,TS Lines,1994,10900,Guam,64,Laem Chabang,Thailand,Shenzhen,China
A Ipsam,Yang Ming Marine Transport Corporation,1992,10000,Syrian Arab Republic,75,Kaohsiung,Taiwan,Piraeus,Greece
Voluptatem Earum,Hapag-Lloyd,1958,12400,Heard Island and McDonald Islands,55,Shanghai,China,New York-New Jersey,U.S.A.
Eum Rerum,Ocean Network Express,2012,9800,French Southern Territories,57,Busan,South Korea,Shanghai,China
Eos Enim,Maersk,1966,11400,Cuba,93,New York-New Jersey,U.S.A.,Jawarharlal Nehru Port (Nhava Sheva),India
Dolorum Repellat,TS Lines,1991,17200,Liberia,66,Bremen/Bremerhaven,Germany,Ningbo-Zhoushan,China
Inventore Repudiandae,Pacific International Lines,2005,13200,Cote d'Ivoire,114,Qingdao,China,Colombo,Sri Lanka
Omnis Voluptas,CMA CGM,1972,14400,Tanzania,35,Jebel Ali,United Arab Emirates,Guangzhou Harbor,China
Voluptas Voluptas,Global Feeder Shipping,2005,16300,Niue,40,Lianyunguang,China,Piraeus,Greece
